,,,,,,,,,Total Counting Stats,,,,,,,,REC Yards ,,,,,Yards/Team Att (Rec and Rush),,,,,Total Dominator (Rush and Rec),,,,TDOa (Total Dominator over average),,,,PPR Pts,,,,PPR PPG,,,,Models,,,,"TDOa Diff from AVG Total Dominator REC and Rush Yards + Touchdown MS (>1 top 1 top 24 season, 2003-2016)",,,,,,Combine,,,,,,,,,,,,,,NFL Career Marks since 2000,,,,,
Name,my Player ID,School,Conference,DR,DP,NFL POS,Draft Year,Age IN DRAFT YEAR (9/1/dy),Years Played,rec,Touches,All Yards,YPTch,G,Years >= 20 Recs,REC/g,rec yards  First,rec yards  Best,rec yards  Last,rec yards  AVG,RUSH AVG,yards per team att  First,yards per team att  Best,yards per team att  Last,yards per team att  AVG,Rush College Dominator Rating,total dominator First,total dominator Last,total dominator Best,total dominator AVG,TDOa First,TDOa Last,TDOa Best,TDOa AVG,ppr pts First,Last,ppr pts Best,ppr pts AVG,ppr ppg First,ppr ppg Last,ppr ppg Best,ppr ppg AVG,Production Score (Pos Specific),Combine Score,Post Draft,PRE-DRAFT,18,19,20,21,22,23,BMI,SPORK (discount SPAQ-x),40 time,height,weight,Bench,Verticle,Broad,Shuttle,3 Cone,WaSS,HaSS,Hand Size,Arm Length,# of top 5  finishes,# of top  12 finishes,# of top  24 finishes,# of top  36 finishes,# of 1000 Rush yards seasons,AVG PPG (PPR) Season 1-3
Stevan Ridley,Ridley1173RB,LSU,SEC,3,73,RB,2011,22,3,17.0,323.0,1513.0,4.7,22.0,0,0.8,0.0,15.5,5.0,6.2,93.8,0.1,1.5,1.5,0.6,49.3,2.0,25.4,25.4,11.8,-13.9,9.4,9.4,-5.6,15.20,221.80,221.80,94.10,5.07,17.06,17.06,9.89,-4.0,132.2,6.42,4.38,,-13.9,-12.2,9.4,,,31.1609786,111.6,4.72,71.25,225,19.5,36,118,4.215,6.805,90.66601321,85.05644227,9.25,31.875,0,0,1,2,1,8.91
Dion Lewis,Lewis11149RB,Pitt,Big East,5,149,RB,2011,20,2,52.0,596.0,3265.0,5.5,25.0,2,2.1,9.5,16.9,16.9,12.4,87.6,2.5,2.5,1.6,2.0,61.5,38.7,27.7,38.7,33.2,30.2,11.8,30.2,21.0,331.80,232.70,331.80,282.25,25.52,19.39,25.52,22.46,7.0,92.4,6.39,7.39,30.2,11.8,,,,,30.5689958,107.8,4.57,66.625,193,17,34.5,112,4.18,6.9,88.49576837,72.56196207,8.75,28.125,0,0,1,2,1,1.945
Jordan Todman,Todman11183RB,Connecticut,Big East,6,183,RB,2011,21,3,42.0,658.0,3462.0,5.3,36.0,1,1.2,1.3,13.5,5.3,8.2,91.8,0.3,2.1,2.1,1.3,72.1,5.4,37.3,37.3,23.1,-3.0,17.0,17.0,8.2,50.00,281.90,281.90,191.40,4.55,23.49,23.49,15.56,4.4,121.9,6.28,8.58,-3.0,10.6,17.0,,,,30.0864621,134.4,4.5,68.875,203,25,38,126,4.18,7.24,99.00929736,86.77301635,9.375,32,0,0,0,0,0,3.28
Jamie Harper,Harper11130RB,Clemson,ACC,4,130,RB,2011,21,3,50.0,361.0,1709.0,4.7,34.0,1,1.5,13.6,30.1,30.1,23.3,76.7,0.2,1.3,1.3,0.7,39.1,3.5,27.2,27.2,13.2,-5.0,6.9,6.9,-1.7,25.40,203.80,203.80,103.63,3.63,15.68,15.68,8.38,-0.7,120.8,6.01,6.02,-5.0,-7.0,6.9,,,,32.15599747,NA,4.57,71.375,233,23.5,36,121.5,4.47,7.075,106.8368603,100.5848844,8.875,30.375,0,0,0,0,0,2.92
Evan Royster,Royster11177RB,Penn State,Big Ten,6,177,RB,2011,23,4,61.0,747.0,4494.0,6.0,49.0,1,1.2,3.4,16.6,16.6,12.5,87.5,0.6,1.6,1.4,1.3,45.9,9.9,26.0,26.0,20.2,-6.0,19.0,19.0,5.5,86.10,188.60,228.10,175.60,8.61,14.51,17.55,14.00,0.2,141.7,5.55,7.19,,-6.0,0.8,8.1,19.0,,29.05393083,112,4.655,71.625,212,20,34,113,4.18,6.95,90.29986797,85.59895559,9.25,30.75,0,0,0,0,0,3.233333333
Da'Rel Scott,Scott11221RB,Maryland,ACC,7,221,RB,2011,23,4,48.0,478.0,2910.0,6.1,37.0,1,1.3,29.7,29.7,19.4,17.5,82.5,0.2,1.6,1.1,0.9,41.3,5.2,19.9,27.3,17.4,-10.7,12.9,12.9,2.6,26.20,154.00,203.85,118.41,5.24,11.85,16.99,11.72,-0.1,158.5,5.48,8.86,,-10.7,7.0,1.0,12.9,,29.42822482,NA,4.38,71,211,19,34,117,4.2,7.15,114.6610749,106.8007429,9,32.5,0,0,0,0,0,3.01
Johnny White,White11133RB,North Carolina,ACC,5,133,RB,2011,23,4,47.0,293.0,1772.0,6.0,31.0,1,1.5,28.5,100.0,28.6,28.8,71.2,0.7,1.2,1.2,0.7,40.5,9.6,22.4,22.4,12.8,-6.3,15.4,15.4,-5.2,70.80,166.80,166.80,69.55,6.44,18.53,18.53,7.44,-4.1,125.7,4.96,4.51,,-6.3,-20.3,-9.7,15.4,,30.09545764,NA,4.625,69.875,209,NA,32.5,116.5,4.41,7.07,91.35437137,82.41272692,9.125,30,0,0,0,0,0,1.13
Baron Batch,Batch11232RB,Texas Tech,Big 12,7,232,RB,2011,23,4,140.0,607.0,3612.0,6.0,43.0,3,3.3,48.8,48.8,21.7,30.8,69.2,0.1,1.3,1.0,0.9,52.6,3.2,21.5,37.1,20.7,-5.3,14.5,21.1,7.8,20.40,184.20,274.90,173.30,5.10,14.17,21.15,14.21,1.1,123.2,4.13,7.18,-5.3,,1.0,21.1,14.5,,30.02190431,NA,4.55,69.625,207,24,39,126,4.37,7.08,96.59502395,86.51587152,9.25,31.75,0,0,0,0,0,2.25
Anthony Allen,Allen11225RB,Georgia Tech,ACC,7,225,RB,2011,23,3,29.0,479.0,2983.0,6.2,39.0,1,0.7,18.0,18.0,6.3,11.8,88.2,0.9,1.5,1.5,1.1,31.3,20.4,18.2,20.4,16.5,12.0,11.3,12.0,6.0,159.90,191.40,191.40,157.10,13.33,14.72,14.72,12.21,1.8,128.7,4.05,6.77,12.0,,,-5.3,11.3,,30.28776026,NA,4.625,72.75,228,24,41.5,120,4.06,6.79,99.65931422,97.47683158,9.625,30.375,0,0,0,0,0,0.75
Anthony Sherman,Sherman11136RB,Connecticut,Big East,5,136,RB,2011,22,4,48.0,65.0,538.0,8.3,26.0,1,1.8,33.3,99.2,99.2,88.7,11.3,0.0,0.4,0.2,0.2,0.4,0.3,4.1,4.1,2.3,-8.2,-11.9,-8.2,-12.9,4.70,29.80,56.90,26.95,1.18,4.97,4.97,3.75,-6.6,97.9,3.55,2.43,-8.2,-11.9,-19.6,-11.9,,,34.47632898,128.3,4.78,70.25,242,32,32.5,111,4.41,7.23,92.71153576,84.55926055,9.375,30,0,0,0,0,0,2.426666667
Owen Marecic,Marecic11124RB,Stanford,Pac-10,4,124,RB,2011,22,4,25.0,61.0,325.0,5.3,31.0,0,0.8,81.3,100.0,62.0,79.4,20.6,0.0,0.2,0.1,0.1,8.2,0.4,4.6,5.7,2.8,-8.1,-11.4,-8.1,-12.4,7.20,51.10,52.70,29.38,1.44,3.93,5.86,3.21,-6.3,144.1,3.25,1.47,-8.1,-15.6,-14.6,-11.4,,,33.17217708,NA,4.89,72.5,248,22,30.25,104.5,4.555,7.1,86.74535726,84.27420151,9.125,32.625,0,0,0,0,0,0.74
Stanley Havili,Havili11240RB,USC,Pac-10,7,240,RB,2011,23,5,116.0,197.0,1799.0,9.1,47.0,4,2.5,100.0,100.0,70.5,71.7,28.3,0.0,0.6,0.6,0.4,6.8,0.2,7.9,9.5,6.0,-8.3,0.9,0.9,-7.5,6.40,106.20,114.20,77.18,6.40,8.17,8.78,7.85,-4.5,144.3,2.55,5.03,-8.3,-6.4,-15.1,-8.7,0.9,,30.57373251,NA,NA,72.25,227,NA,NA,NA,NA,NA,NA,NA,9.25,32,-,-,-,-,-,-
Shaun Chapas,Chapas11220RB,Georgia,SEC,7,220,RB,2011,23,4,25.0,65.0,380.0,5.8,27.0,0,0.9,34.9,83.2,39.7,59.2,40.8,0.1,0.2,0.1,0.1,5.9,0.7,5.2,5.2,2.9,-15.3,-1.8,-1.8,-11.9,9.30,36.30,36.30,26.25,1.55,4.54,5.08,3.82,-6.0,186.0,0.54,1.08,,-15.3,-18.2,-12.5,-1.8,,31.60573161,NA,4.94,74.125,247,23,35.5,116,4.455,7.15,82.95052771,84.24278117,9.5,32,-,-,-,-,-,-
Dujuan Harris,Harris110RB,Troy,Sun Belt,UDFA,UDFA,RB,2011,23,4,79.0,619.0,3188.0,5.2,49.0,2,1.6,7.2,29.3,9.9,17.3,82.7,0.4,1.3,0.7,0.8,38.3,4.4,14.8,28.5,16.8,-4.0,-1.2,12.6,1.7,45.10,113.90,253.55,148.51,4.10,9.49,19.50,11.76,1.4,104.9,0.00,6.34,-4.0,12.6,-0.8,-1.2,,,30.73943891,131.2,4.49,67.125,197,27,38.5,120,4.4,7.2,96.94175054,80.68945047,NA,NA,0,0,0,0,0,3.825
Shaun Draughn,Draughn110RB,North Carolina,ACC,UDFA,UDFA,RB,2011,23,2,37.0,359.0,1639.0,4.6,22.0,1,1.7,8.6,18.1,18.1,12.6,87.4,1.2,1.2,0.8,1.0,27.3,19.5,11.2,19.5,15.3,-0.7,-4.8,-0.7,-2.8,134.70,97.90,134.70,116.30,10.36,10.88,10.88,10.62,-0.6,157.3,0.00,3.83,,,-0.7,-4.8,,,29.81204492,109.3,4.765,70.875,213,20.5,33.75,119.5,4.22,6.94,82.63384843,76.69935039,10,31,0,0,0,0,0,2.87
John Clay,Clay110RB,Wisconsin,Big Ten,UDFA,UDFA,RB,2011,23,3,11.0,640.0,3485.0,5.4,37.0,0,0.3,0.2,3.9,0.9,2.1,97.9,1.0,1.7,1.2,1.3,43.0,15.3,15.3,28.4,19.6,-5.0,8.3,12.4,5.2,143.60,187.10,274.80,201.83,11.05,17.01,21.14,16.40,0.3,172.8,0.00,4.97,,,-5.0,12.4,8.3,,30.76451906,NA,4.855,72.5,230,19,31,111,4.35,7.15,82.79438694,80.42631321,8.75,31,0,0,0,0,0,7
Brandon Saine,Saine110RB,Ohio State,Big Ten,UDFA,UDFA,RB,2011,22,4,55.0,356.0,2024.0,5.7,44.0,1,1.3,37.5,37.5,36.7,30.4,69.6,0.5,1.1,0.6,0.6,17.0,7.5,10.6,17.3,9.4,-1.0,-5.4,-1.0,-5.7,72.70,118.20,149.30,89.85,7.27,9.09,11.48,7.56,-3.1,142.5,0.00,6.38,-1.0,-13.6,-2.9,-5.4,,,30.46851241,NA,4.455,71.25,220,22,34.5,113,4.25,6.98,111.7022299,104.7871136,9.25,30.625,0,0,0,0,0,4.08
Jeremiah Johnson,Johnson110RB,Oregon,Pac-10,UDFA,UDFA,RB,2011,24,4,36.0,385.0,2639.0,6.9,36.0,0,1.0,16.9,22.2,5.9,11.5,88.5,0.2,1.4,1.4,0.7,32.7,5.6,15.7,17.1,11.7,-2.9,-0.3,1.2,-3.5,33.70,213.60,213.60,121.48,5.62,16.43,16.43,12.59,-2.0,134.5,0.00,6.56,-2.9,1.2,-11.9,-0.3,,,30.91822556,NA,4.74,73.875,240,26,33.5,112,4.34,7.05,95.08847244,95.9148911,NA,NA,0,0,0,0,0,3.92
Mossis Madu,Madu110RB,Oklahoma,Big 12,UDFA,UDFA,RB,2011,23,4,34.0,252.0,1232.0,4.9,36.0,0,0.9,12.5,78.4,20.6,20.5,79.5,0.3,0.5,0.3,0.3,11.8,3.8,4.6,8.0,4.3,-12.1,-2.4,-2.4,-10.5,42.50,49.00,103.90,52.80,6.07,4.45,7.99,5.42,-4.7,151.0,0.00,1.83,,-12.1,-12.3,-15.3,-2.4,,27.9350727,NA,4.66,71.125,201,8,31.5,117,4.28,7.11,85.24764422,79.6766251,NA,NA,0,0,0,0,0,4.35
Jed Collins,Collins110RB,Washington State,Pac-10,UDFA,UDFA,RB,2011,25,4,80.0,88.0,911.0,10.4,26.0,2,3.1,94.4,99.4,99.4,98.7,1.3,0.1,0.6,0.6,0.3,4.3,0.5,6.3,10.0,4.3,-7.9,-9.7,-7.9,-10.9,8.40,121.50,121.50,54.78,4.20,12.15,12.15,6.55,-5.6,NA,0.00,4.14,-7.9,-15.7,-10.3,-9.7,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2.966666667
Armando Allen,Allen110RB,Notre Dame,Ind,UDFA,UDFA,RB,2011,22,4,119.0,588.0,2977.0,5.1,41.0,3,2.9,26.3,37.8,21.2,28.0,72.0,0.6,1.1,0.7,0.9,30.3,12.7,13.3,21.7,16.5,4.2,-2.7,5.8,1.4,77.70,94.35,174.00,121.90,6.48,11.79,17.69,12.34,1.0,116.6,0.00,4.46,4.2,5.8,-1.9,-2.7,,,30.03627503,NA,4.64,68.25,199,23,31.5,120,4.17,7.15,85.86400662,73.88855996,8.75,30.25,0,0,0,0,0,3.22
Phillip Tanner,Tanner110RB,Middle Tennessee State,Sun Belt,UDFA,UDFA,RB,2011,23,3,21.0,291.0,1383.0,4.8,23.0,0,0.9,28.5,28.5,28.4,20.8,79.2,0.5,1.0,0.1,0.6,40.3,11.6,2.2,40.9,18.2,3.1,-18.0,25.0,3.4,71.80,19.60,193.90,95.10,7.98,9.80,16.16,11.31,1.7,132.2,0.00,5.36,3.1,25.0,-18.0,,,,29.42275993,106.2,4.62,70.5,208,NA,36,123,4.45,7.23,91.31148976,83.85486639,NA,NA,0,0,0,0,0,3.306666667
Henry Hynoski,Hynoski110RB,Pitt,Big East,UDFA,UDFA,RB,2011,22,3,40.0,77.0,426.0,5.5,22.0,1,1.8,0.0,84.1,84.1,66.4,33.6,0.0,0.3,0.3,0.2,2.5,0.0,3.6,3.6,2.3,-15.9,-12.4,-12.4,-15.1,0.30,51.70,51.70,31.53,0.30,5.17,5.17,3.11,-6.5,211.1,0.00,0.70,,-15.9,-17.1,-12.4,,,34.4948513,NA,5.12,72.375,257,24,30.5,111,NA,NA,74.79684427,72.41934868,9.625,31.375,0,0,0,0,0,1.393333333
Manase Tonga,Tonga110RB,Brigham Young,MWC,UDFA,UDFA,RB,2011,27,3,55.0,193.0,1058.0,5.5,28.0,2,2.0,64.1,64.1,44.8,49.9,50.1,0.1,0.6,0.6,0.4,24.7,0.7,14.0,14.0,8.0,-15.3,13.7,13.7,0.2,12.80,130.30,130.30,81.60,3.20,10.86,10.86,7.51,0.0,NA,0.00,3.29,,,,-15.3,2.2,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2
Jahvid Best,Best1030RB,California,Pac-10,1,30,RB,2010,21,3,62.0,426.0,3201.0,7.5,31.0,2,2.0,25.1,25.1,19.7,16.7,83.3,0.3,2.2,1.3,1.3,54.1,6.5,28.3,36.7,23.8,-2.0,8.0,20.8,8.9,60.50,226.00,305.60,197.37,6.05,25.11,25.47,18.88,4.7,157.4,12.45,12.08,-2.0,20.8,8.0,,,,28.45153061,NA,4.35,70.125,199,18,32.5,113,4.17,6.75,111.1542427,100.9847218,9.5,31,0,0,1,1,0,16.05
CJ Spiller,Spiller109RB,Clemson,ACC,1,9,RB,2010,23,4,123.0,729.0,4967.0,6.8,52.0,3,2.4,18.3,40.9,29.3,28.6,71.4,1.4,2.0,2.0,1.4,49.8,21.2,33.9,33.9,24.8,5.3,26.9,26.9,10.0,205.80,308.35,308.35,221.83,15.83,22.03,22.03,16.97,1.9,147.7,12.40,11.15,,5.3,-3.4,11.1,26.9,,27.62723724,NA,4.37,70.625,196,18,36,126,NA,NA,107.4880834,99.04995532,8.625,30.25,0,1,1,3,2,10.29
Ryan Mathews,Mathews1012RB,Fresno State,WAC,1,12,RB,2010,22,3,19.0,553.0,3548.0,6.4,31.0,0,0.6,0.0,19.4,6.3,7.6,92.4,1.0,2.2,2.2,1.4,61.7,18.1,32.0,32.0,22.3,2.2,16.0,16.0,4.9,170.60,318.00,318.00,206.60,15.51,26.50,26.50,19.47,0.8,137.1,11.92,10.53,,2.2,-3.5,16.0,,,29.87621189,117.2,4.48,71.625,218,19,35,121,4.24,7,108.2366727,102.6070222,8.75,31.75,0,1,2,5,2,13.02
Dexter McCluster,McCluster1036RB,Ole Miss,SEC,2,36,RB,2010,21,2,88.0,378.0,2969.0,7.9,25.0,2,3.5,48.8,48.8,30.8,38.6,61.4,1.5,1.9,1.9,1.7,42.4,20.2,29.2,29.2,24.7,11.7,13.2,13.2,12.5,212.00,284.25,284.25,248.13,16.31,23.69,23.69,20.00,4.5,129.0,9.28,7.36,11.7,13.2,,,,,25.58476011,116.8,4.535,68.75,172,20,37.5,118,4.06,6.755,81.32971997,70.99484774,8.375,29.25,0,0,0,1,0,7.303333333
Toby Gerhart,Gerhart1051RB,Stanford,Pac-10,2,51,RB,2010,23,4,39.0,710.0,3917.0,5.5,38.0,0,1.0,24.8,24.8,7.7,10.1,89.9,0.7,2.4,2.4,1.2,68.6,13.3,35.8,35.8,20.3,-2.6,28.8,28.8,5.5,64.90,386.70,386.70,174.90,5.41,29.75,29.75,18.54,-1.3,122.9,9.20,7.85,,-2.6,-15.9,11.7,28.8,,31.32891067,127,4.6,72,231,22,38,118,4.25,6.94,103.1835935,98.85418795,9,31,0,0,0,0,0,5.673333333
Ben Tate,Tate1058RB,Auburn,SEC,2,58,RB,2010,22,3,51.0,675.0,3268.0,4.8,38.0,1,1.3,13.8,13.8,7.2,10.4,89.6,1.2,1.6,1.6,1.2,45.4,21.2,23.6,23.6,20.7,12.7,3.4,12.7,5.8,168.70,226.70,226.70,167.93,12.98,17.44,17.44,13.15,2.5,149.2,8.99,7.79,12.7,1.4,3.4,,,,30.68345716,143.5,4.43,71,220,26,40.5,124,4.12,6.91,114.2451498,106.4211939,9,31.25,-,-,-,-,-,-
Montario Hardesty,Hardesty1059RB,Tennessee,SEC,2,59,RB,2010,23,5,38.0,598.0,2796.0,4.7,48.0,1,0.8,0.0,18.3,18.3,14.5,85.5,0.0,1.9,1.9,0.7,67.0,0.3,37.0,37.0,14.9,-8.2,30.0,30.0,1.4,1.80,273.70,273.70,95.92,0.90,21.05,21.05,8.13,-2.2,135.9,8.06,6.37,-8.2,-3.0,-11.5,-0.4,30.0,,30.72819248,NA,4.49,71.75,225,21,41,124,4.14,6.87,110.7202735,105.3341088,9.375,31.5,-,-,-,-,-,-
Joe McKnight,McKnight10112RB,USC,Pac-10,4,112,RB,2010,22,3,66.0,413.0,2755.0,6.7,35.0,3,1.9,27.3,27.3,12.6,19.7,80.3,0.8,1.4,1.4,1.1,39.8,10.9,21.1,21.1,14.1,-5.0,5.1,5.1,-3.3,121.30,186.00,186.00,143.83,10.11,15.50,15.50,12.30,-2.3,135.0,7.43,7.52,,-5.0,-9.9,5.1,,,27.32569742,NA,4.47,71.375,198,18,36.5,119.5,4.53,7.17,99.18936122,93.35805342,8.75,30,0,0,0,0,0,2.473333333
Jonathan Dwyer,Dwyer10188RB,Georgia Tech,ACC,6,188,RB,2010,21,3,15.0,532.0,3489.0,6.6,38.0,0,0.4,3.8,13.0,2.6,7.5,92.5,0.5,2.0,1.5,1.4,34.9,12.4,16.3,28.2,18.9,3.9,-4.0,12.3,4.1,101.30,232.20,246.40,193.30,9.21,16.59,18.95,14.92,2.0,119.7,6.58,9.25,3.9,12.3,-4.0,,,,31.71495155,96.8,4.62,71.25,229,16.5,33,107,4.505,7.46,100.5304382,94.31332861,8.625,31,-,-,-,-,-,-
Anthony Dixon,Dixon10173RB,Mississippi State,SEC,6,173,RB,2010,22,4,56.0,966.0,4443.0,4.6,48.0,1,1.2,5.9,13.5,8.1,10.1,89.9,1.0,1.9,1.9,1.4,63.8,30.5,28.6,40.4,34.2,22.0,12.6,24.5,19.0,129.00,241.40,241.40,194.08,10.75,21.95,21.95,16.26,9.9,130.3,6.13,7.94,22.0,24.5,17.1,12.6,,,30.95196553,96.9,4.695,72.75,233,15,32.75,119.5,4.495,7.18,95.90550363,93.80851073,9.875,32.5,0,0,0,0,0,2.676666667
James Starks,Starks10193RB,Buffalo,MAC,6,193,RB,2010,24,3,127.0,825.0,4038.0,4.9,36.0,3,3.5,24.3,24.3,21.3,22.2,77.8,1.3,1.8,1.8,1.6,66.8,28.9,36.2,40.3,35.1,8.6,29.2,29.2,20.7,163.00,323.40,323.40,251.02,13.58,26.95,26.95,20.92,4.4,128.4,5.50,7.76,,,8.6,24.3,29.2,,27.89493721,111.6,4.5,74.125,218,15,36,119,4.23,6.89,106.3252553,107.960431,8.625,30.125,0,0,1,1,0,6.426666667
John Conner,Conner10139RB,Kentucky,SEC,5,139,RB,2010,23,4,24.0,78.0,442.0,5.7,33.0,0,0.7,80.8,80.8,22.5,44.1,55.9,0.0,0.2,0.2,0.1,7.6,1.0,6.1,6.1,3.3,-14.9,-0.9,-0.9,-11.5,10.60,43.40,43.40,29.05,3.53,3.62,4.80,3.58,-5.6,100.5,3.70,2.77,,-14.9,-15.8,-14.3,-0.9,,34.18919345,NA,4.74,71.125,246,24,35,111,4.32,7.15,97.46568425,91.12774857,8.5,32,0,0,0,0,0,0.6866666667
Erik Lorig,Lorig10253RB,Stanford,Pac-10,7,253,RB,2010,23,1,3.0,3.0,21.0,7.0,2.0,0,1.5,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,-15.7,-15.7,-15.7,-,5.10,5.10,5.10,-,2.55,2.55,2.55,-,-2.0,NA,0.00,0.00,,-15.7,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1.356666667
Legarrette Blount,Blount100RB,Oregon,Pac-10,UDFA,UDFA,RB,2010,23,2,4.0,163.0,1099.0,6.7,16.0,0,0.3,0.2,13.7,13.7,1.4,98.6,1.1,1.1,0.1,0.6,17.8,15.8,2.1,15.8,9.0,-0.2,-4.8,-0.2,-2.5,204.40,23.50,204.40,113.95,15.72,7.83,15.72,11.78,-0.4,117.9,0.00,5.06,,,,-0.2,-4.8,,32.23586563,102.9,4.69,72.5,241,18,35,117,4.49,6.85,99.62209429,96.77988334,10,33.5,0,1,1,3,2,8.066666667
Keith Toston,Toston100RB,Oklahoma State,Big 12,UDFA,UDFA,RB,2010,23,4,51.0,524.0,3232.0,6.2,46.0,1,1.1,12.7,32.6,17.6,15.7,84.3,0.9,1.7,1.7,0.9,49.7,13.8,28.9,28.9,14.4,-2.1,21.9,21.9,-0.4,130.30,248.95,248.95,139.56,10.86,19.15,19.15,11.45,-2.4,149.1,0.00,5.94,,-2.1,-17.2,-4.3,21.9,,29.08935555,NA,4.695,71.75,213,22,32,110,4.57,7.28,87.67327156,83.4003896,9.25,32.75,0,0,0,0,0,2.18
Chris Ivory,Ivory100RB,Washington State,Pac-10,UDFA,UDFA,RB,2010,22,3,15.0,106.0,585.0,5.5,14.0,0,1.1,0.0,13.8,0.7,8.7,91.3,0.1,0.4,0.2,0.2,14.8,3.4,4.7,10.4,6.2,-5.1,-15.6,-5.1,-8.7,14.50,21.70,61.30,32.50,14.50,4.34,14.50,8.83,-4.3,130.1,0.00,4.28,-5.1,-5.5,-15.6,,,,30.53087128,111.8,4.53,71.5,222,NA,36,119,4.65,7.25,105.4363012,99.60654919,9.875,30.875,0,1,2,2,2,7.04
Javarris James,James100RB,Miami (FL),ACC,UDFA,UDFA,RB,2010,22,4,55.0,560.0,2665.0,4.8,45.0,0,1.2,20.0,29.2,14.7,18.9,81.1,1.3,1.3,0.7,0.8,35.0,23.5,14.4,23.5,16.7,15.0,-1.6,15.0,1.6,147.20,106.70,147.20,108.88,11.32,9.70,11.32,9.56,0.6,136.9,0.00,5.02,15.0,1.9,-9.0,-1.6,,,28.95749996,NA,4.615,72.25,215,21,36,115,4.29,7.12,94.79417127,91.43802092,NA,NA,0,0,0,0,0,7.81
Keiland Williams,Williams100RB,LSU,SEC,UDFA,UDFA,RB,2010,24,4,28.0,327.0,1972.0,6.0,46.0,0,0.6,3.1,22.9,5.6,13.8,86.2,0.6,0.6,0.5,0.6,24.5,10.1,12.5,12.5,10.4,-5.8,5.5,5.5,-4.4,79.00,67.00,110.10,86.08,8.78,6.70,8.78,7.53,-2.7,117.9,0.00,5.98,,-5.8,-10.3,-7.0,5.5,,32.61129797,NA,4.57,70.875,233,16,33,NA,NA,NA,106.8368603,99.17943685,NA,NA,0,0,0,0,0,4.623333333
Curtis Brinkley,Brinkley100RB,Syracuse,Big East,UDFA,UDFA,RB,2010,24,4,33.0,527.0,2453.0,4.7,34.0,0,1.0,0.0,28.7,6.5,13.1,86.9,0.0,1.8,1.8,0.9,64.2,0.5,33.5,33.5,19.4,-15.4,26.5,26.5,4.6,2.60,180.65,180.65,87.61,1.30,15.05,15.05,8.33,-1.1,NA,0.00,5.41,,-15.4,0.2,7.0,26.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,4.396666667
Alfonso Smith,Smith100RB,Kentucky,SEC,UDFA,UDFA,RB,2010,23,4,30.0,244.0,1282.0,5.3,36.0,0,0.8,27.5,39.5,0.0,25.1,74.9,0.4,0.6,0.3,0.4,13.4,9.7,4.4,12.0,7.8,-6.2,-2.6,-2.6,-7.0,52.90,37.50,85.70,54.55,6.61,3.75,8.42,6.34,-3.7,137.7,0.00,4.92,,-6.2,-15.1,-4.0,-2.6,,27.74271781,116.9,4.43,73.125,211,19,36,117,4.36,7.17,109.5714846,108.2663928,NA,NA,0,0,0,0,0,-0.3
Chris Gronkowski,Gronkowski100RB,Arizona,Pac-10,UDFA,UDFA,RB,2010,23,2,12.0,14.0,219.0,15.6,9.0,0,1.3,100.0,100.0,95.2,99.5,0.5,0.2,0.2,0.0,0.1,0.0,4.7,0.2,4.7,2.4,-11.3,-6.8,-6.8,-9.1,45.80,6.10,45.80,25.95,9.16,1.53,9.16,5.34,-1.5,NA,0.00,3.36,,,,-11.3,-6.8,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2.285
Dimitri NAce,NAce100RB,Arizona State,Pac-10,UDFA,UDFA,RB,2010,22,4,63.0,545.0,2397.0,4.4,44.0,2,1.4,6.5,21.4,21.4,19.3,80.7,0.3,1.3,1.3,0.7,49.1,7.2,28.1,28.1,18.4,-1.3,12.1,12.1,3.3,44.50,171.10,171.10,105.68,4.45,14.26,14.26,9.38,0.8,116.4,0.00,4.31,-1.3,1.5,0.7,12.1,,,31.76230456,NA,4.69,69.625,219,19,33,114,4.41,6.92,90.5279612,81.09021524,NA,NA,0,0,0,0,0,1.94
Thomas Clayton,Clayton100RB,Kansas State,Big 12,UDFA,UDFA,RB,2010,26,4,21.0,253.0,1203.0,4.8,22.0,0,1.0,13.5,13.5,13.0,10.6,89.4,0.1,1.0,0.5,0.4,26.5,0.5,10.5,19.0,7.7,-8.0,3.5,3.5,-5.2,6.20,63.00,113.00,47.33,1.55,15.75,15.75,7.82,-3.7,NA,0.00,3.50,-8.0,,-19.4,3.0,3.5,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.415
Knowshon Moreno,Moreno0912RB,Georgia,SEC,1,12,RB,2009,22,2,53.0,551.0,3379.0,6.1,26.0,2,2.0,15.9,21.9,21.9,19.1,80.9,1.8,2.2,2.2,2.0,74.0,27.7,41.5,41.5,34.6,7.5,25.5,25.5,16.5,262.70,320.20,320.20,291.45,20.21,24.63,24.63,22.42,3.6,125.7,11.30,9.56,,,7.5,25.5,,,30.58729837,120.8,4.63,70.625,217,25,35.5,115,4.27,6.84,94.44212827,87.04461209,9,30.375,1,1,3,3,2,11.40333333
